ID,all_k,rural_k,urban_k,beta
P119,0.147537641440905,0.149371768796507,0.169308399376303,5.81474818459055
P11,0.405591328431859,0.552400979278386,0.716880591887289,3.09590172293983
P120,0.355684732952002,0.454298096310338,0.450648330475472,6.06286862179891
P121,0.519321645905184,1.26302819278684,0.297552853012665,2.68134324794056
P122,0.389589508659573,0.358521750610682,0.394994577235014,2.46968673320071
P123,0.785478622536448,0.575717151202592,0.398873443841404,2.09863569793868
P124,0.148108613000973,0.149931048209475,0.154182428619286,5.91061298992937
P126,0.131855114965712,0.132634445409221,0.316010502156856,3.48018539480089
P127,0.318869867088402,0.140407871376752,1.24857926567767,3.33860524833941
P128,0.495295561627476,0.815014656166042,0.582968495197475,3.60960093620943
P129,0.169502331809218,0.138199311237873,0.373463310032992,4.14627403029296
P12,0.303376278799006,1.0419801425486,0.241406095401072,2.54597747886197
P130,0.169238866475449,0.138560894881547,0.29033001864301,4.20622179082644
P131,0.277945833644426,0.466823214951663,0.661365599521096,2.72113930594324
P132,0.152072906891206,0.149595572752795,0.153853704961775,5.85376816596065
P133,0.136082630182946,1.09408971829905,0.35079872958304,4.0313089275624
P134,0.894055696979985,0.89151535828706,1.00905801525235,3.90252649819809
P135,0.256160479579697,0.697134400730307,0.261845858972038,5.35361819777534
P136,0.257067057541279,0.147837481183415,0.152286785310954,5.56255596307767
P137,0.233301247606325,0.116435734930512,0.541568006458659,1.91449716085203
P138,0.298453032409343,0.736136930735078,0.157115895578614,2.45941010211003
P139,0.677199871667067,0.142293870749236,1.27496593211482,4.71906895665651
P13,0.600181443817916,0.345837712680356,0.836956102695119,3.16808357020879
P140,0.444996284635167,0.454313195356241,0.361202818094961,6.06422801301177
P141,0.137334037952886,0.971059856643252,0.143895816123967,4.20453906078886
P142,0.197607161952456,1.17819987569975,0.688291698935661,2.76220796587353
P143,0.364405440930633,1.34754986041039,0.229231944114869,4.06333547168967
P144,0.12046747411985,0.390972076025282,0.295181561340932,2.24532494370081
P145,0.144813452195745,1.44178584008362,0.250803161888192,5.34915771749474
P146,0.140614110953174,0.240500929234445,0.182689726721658,4.68511090867132
P147,0.737153444324511,0.534210128019504,0.237225524751561,1.91036860040133
P149,0.147574800610359,0.165096877788516,0.153698640836659,5.8200158253204
P14,0.148646778379694,0.269134895051589,0.154774335793543,6.01603770041038
P150,0.424628666430881,0.880931321330764,0.607680465539488,5.66617533008259
P151,0.124599340988657,0.668823973069665,0.565651528305529,2.45429443101365
P152,1.20735771096943,1.44967772143822,1.39791553068725,6.58184087179605
P153,0.225038965830834,0.264584803666516,0.355265581964891,5.57079648379527
P154,1.37006355743585,1.45308450783193,1.39690989410839,6.49841687214255
P155,0.326026469786647,1.38078192040767,0.319682881659647,2.74690025631319
P156,0.568026979617102,0.483318758652692,0.262191097118088,3.42303569445102
P157,0.148671734559376,0.269142050673429,0.154750952622997,6.01599499201106
P158,0.218369628026678,0.224848647739335,0.630299354082573,3.33771873810676
P159,0.674899656998564,0.793013579631264,0.68119387388498,1.28384302497077
