ID,true_all_k,true_rural_k,true_urban_k,true_beta,recovered_all_k,recovered_rural_k,recovered_urban_k,recovered_beta
sim_117,0.02271260509327,0.303532389265466,0.872978211049762,1.06393624887637,0.398542959907812,0.556970083282615,0.464566521793293,3.23019719407481
sim_118,0.261964808990362,0.3992762404048,0.85130086630665,0.932479651306512,0.569459339336717,0.564178781973756,0.671567643512243,1.65535764054322
sim_119,0.624978965359309,0.200698185088965,0.8841607029207,0.882335234676352,0.510667186965021,0.416167737356603,0.602694506554681,1.04657718255055
sim_120,0.959812487824995,0.240335180424623,0.884392627051931,1.0620581501029,0.547738431284088,0.234887570083832,0.610332631271143,2.28321846004791
sim_121,0.0269799147111521,0.527551324660889,0.915258291333447,1.00148240082989,0.331223690426378,0.64525252364394,0.838773169748294,2.17108901620458
sim_122,0.294259158913761,0.542312931349426,0.851439044606235,1.05589701758978,0.548632985313467,1.17392361723739,0.190304652288436,5.38679321134392
sim_123,0.596387909331544,0.660251347563182,0.808262233086071,1.01729270511464,0.684178954040395,0.720460368745218,0.577511736624942,5.05028465746093
sim_124,0.945714801204974,0.543067866625477,0.878701912951412,0.960340278543203,0.568142238185324,0.649822262449103,0.825001855390246,0.95503873793145
sim_125,0.0074366428198965,0.9831228579186,0.840718092218257,1.03823608014446,0.437376889201215,0.717816022245473,0.5577615671804,3.1818432376335
sim_126,0.199269896373878,0.937046669578394,0.86620078234871,0.965419184937704,0.252851766564434,0.574031459084165,0.94127328721448,2.90901637354948
sim_127,0.613956889697444,0.841344474772411,0.951741457179912,1.03494756541385,0.414272236472952,0.920900133050239,0.756810096145568,1.929981489766
sim_128,0.947275787444402,1.00934997295044,0.966980528075983,1.04116537075963,0.946178293298907,0.647720582246615,0.961077111551585,2.64651565088733
sim_129,0.026377070639515,0.0215451075401375,0.0260130052109019,2.03013506214258,0.19751681370831,0.19364111825316,0.193855868780882,7.44977317166154
sim_130,0.322814944932515,0.0285252991847049,0.083817043086254,1.89002405710806,0.44139002755978,0.255273314569313,0.328064715708796,3.33708271443369
sim_131,0.609328464154685,0.0291549750898665,0.0301948831320744,1.97111795137973,0.681255928821765,0.192737129206309,0.192940902885762,6.89123170691786
sim_132,0.936098664553481,0.0842251160182034,0.0301991366502182,1.99869898085637,1.02963687871334,0.257878151602797,0.185572686115492,3.4930918336773
sim_133,0.0363447448803596,0.299801783069264,0.0405425936016718,1.99207652790022,0.193112091377923,0.422995338175006,0.188204839701198,4.40839718754205
sim_134,0.356152244997482,0.308668554481271,0.00541270084694929,1.87737465651491,0.42981856479847,0.395926799179801,0.246901085051183,3.20818261950473
sim_135,0.707923978113746,0.247956779171913,0.0382969012261297,1.97545943411609,0.620208728432315,0.45029744568983,0.191451135198212,6.0083061484002
sim_136,0.87397960551191,0.294084140342718,0.0626726080633366,2.06141921904106,0.753506255721164,0.257202825276318,0.18542452086606,3.45160168819779
sim_137,0.00884213060998214,0.524614732729165,0.0399713708490258,1.92931553084363,0.193431620324599,0.477752381680436,0.18860887374551,4.57965205091975
sim_138,0.242257368200755,0.602316995432623,0.0277370232620495,2.0207481812965,0.420647193479727,0.909083509773338,0.187052416858703,3.97066830126375
sim_139,0.554356891645575,0.482551367276238,0.0276992883442018,2.03821862928128,0.622814708004552,0.5550315536063,0.185869538969982,3.58239509741321
sim_140,0.940946473861154,0.520088366711524,0.0186230497145522,2.0095425560023,0.660427897124925,0.182374623397185,0.182603468363455,2.72974622328405
sim_141,0.0703577463970913,0.926131238713666,0.0736488452822765,1.97095636894768,0.192343747389333,0.604263036167345,0.259797069396165,4.04477113440203
sim_142,0.210229711303467,0.798322161654943,0.0566307386751863,2.00848129580279,0.561736997130567,1.01392816710153,0.247641192794104,2.87767959973532
sim_143,0.607608294623871,0.902910882724783,0.0219856718602459,2.02486110619131,0.521065651066596,0.501830321832142,0.249287619989011,3.34794099304386
sim_144,0.971384309252058,0.858258338236936,0.0408475917744354,1.98959394122427,0.69324668686158,0.477019604658546,0.180973690718477,2.35046796969416
sim_145,0.011568482844322,0.0167519056040206,0.325556300951525,1.96338039502954,0.196992454971691,0.192961820489309,0.290738729082583,7.03093749707236
sim_146,0.265646121367314,0.0062784889650582,0.28450426159729,1.93648401650333,0.365323324974788,0.253116536188932,0.466914244627213,3.21253586365043
sim_147,0.624511236625097,0.0360398971223282,0.301156757359086,2.05493356580994,0.595629099367743,0.192714252862034,0.192921384312118,6.87542160856342
sim_148,0.877073160299553,0.0364226990962214,0.216565140898034,2.02926672606985,0.746436755974588,0.189227935032478,0.277311004525378,4.97172673376157
sim_149,0.0380486608723432,0.4205558660814,0.220413498081998,2.02532556645,0.268284975720143,0.447767824657388,0.341817141428546,3.88966335118507
sim_150,0.219859771063664,0.170316277836221,0.259108118337205,2.01130495906915,0.307749556795239,0.266095532857123,0.460284934115073,3.97822448696775
sim_151,0.620132197836321,0.213778805668678,0.327948366623843,2.02357363079235,0.293614619040262,0.290927471915615,0.291433881674888,7.23609236434799
sim_152,0.812894431125118,0.293969200597752,0.3100719411519,1.95366055237289,0.749581600164492,0.46979592031679,0.279676749951549,5.23307089504237
sim_153,0.0331493054984014,0.688184222496601,0.319631892284085,2.07283214289628,0.193053162877638,0.610335791698006,0.348380723947878,4.38167798681122
sim_154,0.294800495447134,0.624776298302726,0.305860559808971,2.00013973088797,0.502298079555575,1.05600933783047,0.430171854398352,3.07674469689508
sim_155,0.48733562734889,0.609011352584005,0.321030580865768,2.04278268530795,0.515648477676911,0.64603606593207,0.376064536370052,2.60515011519199
sim_156,0.903143918890805,0.534405633586721,0.226848803208761,2.00226909344321,0.923107375384415,0.582902265806458,0.360001026608432,3.17351643123239
sim_157,0.0260019651440505,0.892521389058621,0.340197502919489,1.93439493871942,0.273437133465527,0.41941989616785,0.490638207565937,4.24882216167318
sim_158,0.400957752025603,0.946589553917191,0.327465410199937,1.97943009923153,0.282518290905727,0.833307068070671,0.583439477060784,5.2356908878832
sim_159,0.64191105977087,0.887928603164631,0.413996175745837,1.99535756417278,0.435334261064162,0.498191121174772,0.398584429962585,2.46504945384474
sim_160,0.919261759459053,0.843859235616841,0.24026391823792,1.98811359515531,0.385152650725399,0.646753247465381,0.832778148930946,4.14844821586835
sim_161,0.0305459918613813,0.0155521956098853,0.532634666736219,2.04530166851648,0.481592375435473,0.191506461806245,0.710271358162028,6.17008719114891
sim_162,0.350733860219638,0.0190151271672909,0.60176075331587,1.89341792736232,0.367919419411139,0.257290108548582,0.511465749015776,3.38277389796294
sim_163,0.544449191370915,0.0388086622118558,0.643816177524906,2.0310958491253,0.791565988008002,0.192624246074946,0.375328320408366,6.82667337466669
sim_164,0.928608944815168,0.000222667411697118,0.639060783062663,2.05209140332244,0.802109765574306,0.184288735876108,0.719922872176197,3.20429751205828
