ID,true_rural_k,true_urban_k,true_beta,recovered_rural_k,recovered_urban_k,recovered_beta
sim_044,0.875194674236587,0.627043572974025,1.95507641343707,0.78561309942289,0.556895869062213,1.53560542414465
sim_045,0.043164498303723,1.04138267600632,1.96630462814102,0.187855575008829,0.506866007242015,4.90839077762597
sim_046,0.342535852956637,0.886931119656308,2.01770292254462,0.351889640583691,0.60273000625652,4.58780251636051
sim_047,0.601522993987609,0.97157624457922,1.98777547131542,0.276961949456416,0.726485500155973,4.93507749506734
sim_048,0.919181715192297,0.878854896442831,2.05242388465229,0.563710711564422,0.788718708136213,2.22672888450986
sim_049,0.0195257200704103,0.0283997526595899,2.97934446930504,0.19166857289009,0.189158396849117,6.85133495636524
sim_050,0.314241058026453,0.0788374017460698,2.99805942151414,0.368651905009305,0.186630752147178,5.65358379941098
sim_051,0.62777520792506,0.021986637665799,3.01928448828072,0.633548311350891,0.183801780826021,4.51612648525423
sim_052,0.932353369407637,0.0305435694206529,2.98970124862138,0.748057103430617,0.182408203658919,4.05111271723124
sim_053,0.0652918236063805,0.214551208731689,3.10116038546403,0.191666244404675,0.18917666375504,6.85153023857716
sim_054,0.27533906146205,0.311070795776711,2.91080685581702,0.2827730891405,0.400636148346775,5.67807228970188
sim_055,0.553259908390682,0.222104774810635,2.97844023177329,0.45126601456565,0.369504255870203,5.93856169242858
sim_056,0.907442648483056,0.315497544940746,2.96862889062153,0.940421968510235,0.477492728740023,5.07705446478589
sim_057,0.0350642772349568,0.518645051823154,2.94899415624087,0.276586444026106,0.366718637783457,5.77353820353851
sim_058,0.333223566307192,0.54601181539537,2.94456515539658,0.495248046264739,0.643552420948781,2.88679144021087
sim_059,0.68163975065099,0.566371779925918,3.05762973736597,0.631220251432271,0.332136584958484,3.57690219896705
sim_060,0.827343718629243,0.668365491468357,3.00293017266379,0.647440756730146,0.733771201046086,4.48919599646172
sim_061,0.0114371525126496,0.882445019162202,2.8829503828502,0.190445626915027,0.965300810589282,6.17413708724647
sim_062,0.308795600845066,0.907807250593815,3.11419994325134,0.251852778153603,0.61088311585005,3.5653966391785
sim_063,0.560624113509012,0.912046997697146,3.02696347720832,0.493791746393306,0.578300723176341,3.96853865075351
sim_064,0.828401818191881,0.81822642635213,2.88756390077592,0.657988488935182,0.484492674491096,3.44207438873235
sim_065,0.0153024348688116,0.00838161366524239,4.02139303671748,0.191677279595156,0.189152289008637,6.85134658107898
sim_066,0.271804877039413,0.0176420333566861,3.98595675325447,0.492364187835969,0.181380555431069,3.74663972631903
sim_067,0.648937480139056,0.0657952548011666,3.93097617318098,0.724008398160405,0.185767156507856,5.28021959042918
sim_068,0.905628886855049,0.0018832321388457,4.002388194923,0.844185206705179,0.186647861912791,5.66108321466642
sim_069,0.0988138856654278,0.307057672215875,4.01106887533285,0.283759791494938,0.367913857486335,5.78399313987864
sim_070,0.366458797003392,0.300099733747574,4.0102864994618,0.527098154237561,0.305952540600745,2.76705708039198
sim_071,0.580688132762217,0.238150663958397,3.97996847533347,0.582226937509133,0.319781329238946,2.23871419900873
sim_072,0.851349192824372,0.295300216303027,4.00503718453388,0.845102355872013,0.281513813323613,5.77911847130484
sim_073,0.0335846804452084,0.684642881027441,4.00932603289778,0.189612063672176,0.5096963027453,5.74037699361133
