simulated_model,round,estimated_model,sumLME,bicint,relBIC,xp,winner_by_BIC,winner_by_XP
ms_two_k_one_beta_linear,2,ms_two_k_two_beta,-714.410995887403,1429.49805283525,144.490489179675,0,0,0
ms_two_k_one_beta_linear,2,ms_two_k_two_beta_linear,-659.543487438754,1320.57080957315,35.5632459175677,0,0,0
ms_two_k_one_beta_linear,2,ms_two_k_two_beta_hyperbolic,-661.586461441381,1328.8844690101,43.8769053545248,0,0,0
ms_two_k_one_beta_linear,3,ms_two_k_one_beta,-752.023347699369,1478.6612492382,106.262890903803,0,0,0
ms_two_k_one_beta_linear,3,ms_two_k_one_beta_linear,-693.064154866628,1372.3983583344,0,1,1,1
ms_two_k_one_beta_linear,3,ms_two_k_one_beta_hyperbolic,-703.670857076044,1399.56521579455,27.1668574601515,0,0,0
ms_two_k_one_beta_linear,3,ms_two_k_two_beta,-765.574039660149,1515.99766893065,143.599310596249,0,0,0
ms_two_k_one_beta_linear,3,ms_two_k_two_beta_linear,-707.992301656593,1416.24634167808,43.8479833436857,0,0,0
ms_two_k_one_beta_linear,3,ms_two_k_two_beta_hyperbolic,-715.811326135155,1435.35414608939,62.955787754988,0,0,0
ms_two_k_one_beta_linear,4,ms_two_k_one_beta,-727.325329790158,1396.31770861645,111.77662534301,0,0,0
ms_two_k_one_beta_linear,4,ms_two_k_one_beta_linear,-645.37029738689,1284.54108327344,0,1,1,1
ms_two_k_one_beta_linear,4,ms_two_k_one_beta_hyperbolic,-663.086625006868,1325.54529538872,41.0042121152846,0,0,0
ms_two_k_one_beta_linear,4,ms_two_k_two_beta,-760.359520860598,1430.08206206628,145.540978792843,0,0,0
ms_two_k_one_beta_linear,4,ms_two_k_two_beta_linear,-659.541560473429,1315.89277818674,31.3516949133043,0,0,0
ms_two_k_one_beta_linear,4,ms_two_k_two_beta_hyperbolic,-678.261852729449,1357.1459442702,72.604860996759,0,0,0
ms_two_k_one_beta_linear,5,ms_two_k_one_beta,-711.046138455998,1401.44615885227,121.828321924769,0,0,0
ms_two_k_one_beta_linear,5,ms_two_k_one_beta_linear,-643.969284683612,1279.6178369275,0,0.999999,1,1
ms_two_k_one_beta_linear,5,ms_two_k_one_beta_hyperbolic,-655.858974963185,1308.14556425174,28.5277273242386,1e-06,0,0
ms_two_k_one_beta_linear,5,ms_two_k_two_beta,-724.187215893877,1435.73818266475,156.120345737244,0,0,0
ms_two_k_one_beta_linear,5,ms_two_k_two_beta_linear,-661.367343426795,1320.93840205282,41.3205651253149,0,0,0
ms_two_k_one_beta_linear,5,ms_two_k_two_beta_hyperbolic,-674.46394466574,1353.64264182426,74.0248048967615,0,0,0
ms_two_k_one_beta_linear,6,ms_two_k_one_beta,-691.112400841494,1357.10138158385,119.472675922928,0,0,0
ms_two_k_one_beta_linear,6,ms_two_k_one_beta_linear,-621.599642245243,1237.62870566092,0,1,1,1
ms_two_k_one_beta_linear,6,ms_two_k_one_beta_hyperbolic,-636.46664457574,1267.55710715873,29.9284014978143,0,0,0
ms_two_k_one_beta_linear,6,ms_two_k_two_beta,-699.068644839865,1384.55651803962,146.9278123787,0,0,0
ms_two_k_one_beta_linear,6,ms_two_k_two_beta_linear,-637.450039272906,1273.81111919794,36.1824135370271,0,0,0
ms_two_k_one_beta_linear,6,ms_two_k_two_beta_hyperbolic,-641.382992565751,1289.83304468951,52.2043390285926,0,0,0
